startDateTime,endDateTime,bioTempMean,bioTempMinimum,bioTempMaximum,bioTempVariance,bioTempNumPts,bioTempExpUncert,bioTempStdErMean,finalQF
"2023-12-01T00:00:00Z","2023-12-01T00:30:00Z",3.37,3.19,3.56,0.01,1800.00,0.56,0.00,0
"2023-12-01T00:30:00Z","2023-12-01T01:00:00Z",3.22,3.06,3.41,0.01,1800.00,0.56,0.00,0
"2023-12-01T01:00:00Z","2023-12-01T01:30:00Z",3.19,3.02,3.36,0.01,1800.00,0.56,0.00,0
"2023-12-01T01:30:00Z","2023-12-01T02:00:00Z",3.23,3.00,3.48,0.02,1800.00,0.56,0.00,0
"2023-12-01T02:00:00Z","2023-12-01T02:30:00Z",3.48,3.04,3.85,0.07,1800.00,0.56,0.01,0
"2023-12-01T02:30:00Z","2023-12-01T03:00:00Z",3.98,3.80,4.13,0.00,1800.00,0.56,0.00,0
"2023-12-01T03:00:00Z","2023-12-01T03:30:00Z",4.03,3.74,4.58,0.06,1800.00,0.56,0.01,0
"2023-12-01T03:30:00Z","2023-12-01T04:00:00Z",4.86,4.54,5.16,0.04,1800.00,0.56,0.00,0
"2023-12-01T04:00:00Z","2023-12-01T04:30:00Z",5.35,5.13,5.50,0.01,1800.00,0.56,0.00,0
"2023-12-01T04:30:00Z","2023-12-01T05:00:00Z",5.47,5.36,5.56,0.00,1800.00,0.56,0.00,0
"2023-12-01T05:00:00Z","2023-12-01T05:30:00Z",5.06,4.79,5.43,0.02,1800.00,0.56,0.00,0
"2023-12-01T05:30:00Z","2023-12-01T06:00:00Z",4.97,4.73,5.32,0.02,1800.00,0.56,0.00,0
"2023-12-01T06:00:00Z","2023-12-01T06:30:00Z",4.51,4.35,4.75,0.01,1800.00,0.56,0.00,0
"2023-12-01T06:30:00Z","2023-12-01T07:00:00Z",4.78,4.43,5.63,0.12,1800.00,0.56,0.01,0
"2023-12-01T07:00:00Z","2023-12-01T07:30:00Z",5.98,5.62,6.29,0.02,1800.00,0.56,0.00,0
"2023-12-01T07:30:00Z","2023-12-01T08:00:00Z",6.35,6.08,6.49,0.01,1800.00,0.56,0.00,0
"2023-12-01T08:00:00Z","2023-12-01T08:30:00Z",6.50,6.38,6.60,0.00,1800.00,0.56,0.00,0
"2023-12-01T08:30:00Z","2023-12-01T09:00:00Z",6.61,6.43,6.82,0.01,1800.00,0.56,0.00,0
"2023-12-01T09:00:00Z","2023-12-01T09:30:00Z",6.58,6.37,6.72,0.01,1800.00,0.56,0.00,0
"2023-12-01T09:30:00Z","2023-12-01T10:00:00Z",6.40,6.22,6.59,0.00,1800.00,0.56,0.00,0
"2023-12-01T10:00:00Z","2023-12-01T10:30:00Z",6.57,6.34,6.85,0.01,1800.00,0.56,0.00,0
"2023-12-01T10:30:00Z","2023-12-01T11:00:00Z",7.00,6.66,7.36,0.02,1800.00,0.56,0.00,0
"2023-12-01T11:00:00Z","2023-12-01T11:30:00Z",7.18,6.93,7.43,0.02,1800.00,0.56,0.00,0
"2023-12-01T11:30:00Z","2023-12-01T12:00:00Z",9.53,7.30,11.32,1.79,1800.00,0.57,0.03,0
"2023-12-01T12:00:00Z","2023-12-01T12:30:00Z",10.68,9.24,11.87,0.51,1800.00,0.56,0.02,0
"2023-12-01T12:30:00Z","2023-12-01T13:00:00Z",11.48,10.87,12.24,0.09,1800.00,0.56,0.01,0
"2023-12-01T13:00:00Z","2023-12-01T13:30:00Z",11.54,11.05,11.97,0.05,1800.00,0.56,0.01,0
"2023-12-01T13:30:00Z","2023-12-01T14:00:00Z",12.21,11.72,12.64,0.04,1800.00,0.56,0.00,0
"2023-12-01T14:00:00Z","2023-12-01T14:30:00Z",12.65,12.26,13.76,0.10,1800.00,0.56,0.01,0
"2023-12-01T14:30:00Z","2023-12-01T15:00:00Z",14.79,13.31,15.67,0.43,1800.00,0.56,0.02,0
"2023-12-01T15:00:00Z","2023-12-01T15:30:00Z",14.92,14.11,16.02,0.16,1800.00,0.56,0.01,0
"2023-12-01T15:30:00Z","2023-12-01T16:00:00Z",14.48,13.96,15.07,0.04,1800.00,0.56,0.00,0
