Year,month,attendance,AnnualTotal,date
2025,JAN,276999,11527939,2025-01
2025,FEB,409449,11527939,2025-02
2025,MAR,845724,11527939,2025-03
2025,APR,986442,11527939,2025-04
2025,MAY,1114160,11527939,2025-05
2025,JUN,1336144,11527939,2025-06
2025,JUL,1435337,11527939,2025-07
2025,AUG,998056,11527939,2025-08
2025,SEP,981366,11527939,2025-09
2025,OCT,1561683,11527939,2025-10
2025,NOV,867677,11527939,2025-11
2025,DEC,714902,11527939,2025-12
2024,JAN,407804,12191834,2024-01
2024,FEB,472412,12191834,2024-02
2024,MAR,872124,12191834,2024-03
2024,APR,951189,12191834,2024-04
2024,MAY,1266832,12191834,2024-05
2024,JUN,1378182,12191834,2024-06
2024,JUL,1385854,12191834,2024-07
2024,AUG,1150247,12191834,2024-08
2024,SEP,1015889,12191834,2024-09
2024,OCT,1510684,12191834,2024-10
2024,NOV,1016062,12191834,2024-11
2024,DEC,764555,12191834,2024-12
2023,JAN,459626,13297647,2023-01
2023,FEB,506742,13297647,2023-02
2023,MAR,879991,13297647,2023-03
2023,APR,1026754,13297647,2023-04
2023,MAY,1229626,13297647,2023-05
2023,JUN,1545906,13297647,2023-06
2023,JUL,1609741,13297647,2023-07
2023,AUG,1289406,13297647,2023-08
2023,SEP,1307865,13297647,2023-09
2023,OCT,1704922,13297647,2023-10
2023,NOV,975806,13297647,2023-11
2023,DEC,761262,13297647,2023-12
2022,JAN,409267,12937633,2022-01
2022,FEB,536592,12937633,2022-02
2022,MAR,878917,12937633,2022-03
2022,APR,1014878,12937633,2022-04
2022,MAY,1227558,12937633,2022-05
2022,JUN,1486757,12937633,2022-06
2022,JUL,1560696,12937633,2022-07
2022,AUG,1266172,12937633,2022-08
2022,SEP,1315818,12937633,2022-09
2022,OCT,1624908,12937633,2022-10
2022,NOV,945444,12937633,2022-11
2022,DEC,670626,12937633,2022-12
2021,JAN,525801,14161548,2021-01
2021,FEB,502459,14161548,2021-02
2021,MAR,931060,14161548,2021-03
2021,APR,1169469,14161548,2021-04
2021,MAY,1363183,14161548,2021-05
2021,JUN,1539247,14161548,2021-06
2021,JUL,1730987,14161548,2021-07
2021,AUG,1398161,14161548,2021-08
2021,SEP,1355599,14161548,2021-09
2021,OCT,1633547,14161548,2021-10
2021,NOV,1155227,14161548,2021-11
2021,DEC,856808,14161548,2021-12
2020,JAN,438509,12095720,2020-01
